id,groups,age,healthy_eating,active_lifestyle,salary
0,A,36,5,5,2297
1,A,55,3,5,1134
2,A,61,8,1,4969
3,O,29,3,6,902
4,O,34,6,2,3574
5,O,42,5,3,2761
6,AB,53,4,6,1484
7,B,41,8,6,3809
8,A,47,5,6,2065
9,A,31,4,8,1020
10,A,47,6,9,1950
11,O,40,7,1,4387
12,O,41,3,2,1830
13,O,46,6,8,2182
14,AB,51,7,5,3460
15,B,57,5,8,662
16,A,33,3,5,1134
17,A,41,4,8,1020
18,A,46,2,6,779
19,O,32,7,6,3228
20,O,57,7,6,3228
21,O,26,1,6,1360
22,AB,59,7,5,3460
23,B,55,6,4,3110
24,A,51,5,8,1601
25,A,63,6,6,2414
26,A,62,9,6,4390
27,O,37,3,5,1134
28,O,63,6,7,2414
29,O,20,8,6,3809
30,AB,63,4,7,1252
31,B,54,7,8,2764
32,A,58,3,8,662
33,A,18,4,6,1484
34,A,29,5,7,1833
35,O,61,2,4,785
36,O,51,5,5,2297
37,O,22,3,5,1134
38,AB,36,3,7,670
39,B,62,2,6,779
40,A,54,6,8,2182
41,A,55,5,3,2761
42,A,55,6,7,2414
43,O,42,4,10,556
44,O,41,6,6,2646
45,O,43,5,8,1601
46,AB,24,4,3,2179
47,B,44,4,6,1484
48,A,42,5,6,2065
49,A,54,6,9,1950
50,A,34,3,6,902
51,O,32,5,8,1601
52,O,28,7,2,4155
53,O,18,2,4,785
54,AB,64,3,7,670
55,B,44,6,5,2878
56,A,56,5,5,2297
57,A,54,6,1,3806
58,A,23,9,6,4390
59,O,42,8,3,4505
60,O,64,7,10,2300
61,O,57,3,5,1134
62,AB,20,5,5,2297
63,B,37,5,3,2761
64,A,45,7,4,3691
65,A,45,6,6,2646
66,A,27,3,4,1366
67,O,43,6,3,3342
68,O,20,5,7,1833
69,O,28,8,5,4041
70,AB,60,3,2,1830
71,B,34,4,4,1948
72,A,21,5,1,3225
73,A,50,5,7,1833
74,A,31,6,7,2414
75,O,26,8,6,3809
76,O,59,4,5,1716
77,O,21,7,7,2996
78,AB,61,6,8,2182
79,B,47,6,8,2182
80,A,30,3,2,1830
81,A,19,5,2,2993
82,A,56,6,6,2646
83,O,49,9,6,4390
84,O,39,3,4,1366
85,O,64,7,6,3228
86,AB,53,6,5,2878
87,B,28,6,6,2646
88,A,62,5,7,1833
89,A,57,3,7,670
90,A,55,1,9,2056
91,O,25,4,6,1484
92,O,31,8,1,4969
93,O,34,7,6,3228
94,AB,47,5,8,1601
95,B,40,3,3,1598
96,A,32,8,1,4969
97,A,32,6,6,2646
98,A,56,6,8,2182
99,O,19,4,6,1484
100,O,45,4,6,1484
101,O,60,5,7,1833
102,AB,37,4,6,1484
103,B,36,3,8,662
104,A,59,6,7,2414
105,A,48,9,5,4622
106,A,56,6,5,2878
107,O,52,6,9,1950
108,O,25,6,5,2878
109,O,51,3,5,1134
110,AB,30,4,7,1252
111,B,46,5,5,2297
112,A,45,6,8,2182
113,A,44,3,3,1598
114,A,49,7,6,3228
115,O,50,2,7,1011
116,O,26,5,3,2761
117,O,30,3,6,902
118,AB,21,4,8,1020
119,B,48,8,9,3113
120,A,37,6,5,2878
121,A,28,7,6,3228
122,A,29,5,1,3225
123,O,28,5,4,2529
124,O,64,3,9,894
125,O,44,4,8,1020
126,AB,63,3,7,670
127,B,37,9,7,4158
128,A,18,3,3,1598
129,A,60,6,5,2878
130,A,22,6,8,2182
131,O,62,6,7,2414
132,O,58,1,5,1128
133,O,41,0,8,2406
134,AB,19,6,5,2878
135,B,21,2,3,1017
136,A,43,5,4,2529
137,A,53,4,10,556
138,A,43,2,9,1475
139,O,32,6,8,2182
140,O,43,4,2,2411
141,O,26,7,7,2996
142,AB,38,6,5,2878
143,B,62,1,2,667
144,A,33,4,5,1716
145,A,29,6,4,3110
146,A,46,7,4,3691
147,O,39,6,3,3342
148,O,44,5,6,2065
149,O,41,6,6,2646
150,AB,49,5,4,2529
151,B,58,1,6,1360
152,A,55,7,3,3923
153,A,54,6,5,2878
154,A,51,4,7,1252
155,O,34,6,9,1950
156,O,19,5,6,2065
157,O,51,7,5,3460
158,AB,44,6,9,1950
159,B,30,7,6,3228
160,A,32,4,5,1716
161,A,52,2,6,779
162,A,33,7,6,3228
163,O,25,7,6,3228
164,O,36,3,9,894
165,O,27,7,3,3923
166,AB,59,6,8,2182
167,B,38,3,8,662
168,A,54,8,5,4041
169,A,58,5,5,2297
170,A,63,5,2,2993
171,O,50,3,6,902
172,O,32,2,6,779
173,O,58,9,5,4622
174,AB,21,3,6,902
175,B,39,3,6,902
176,A,21,6,6,2646
177,A,31,2,9,1475
178,A,44,3,6,902
179,O,49,7,9,2532
